timestamps,open,high,low,close,volume,amount
2024-06-17,1425.97,1442.45,1404.69,1435.18,48318,7400883243.0
2024-06-18,1424.57,1448.22,1410.36,1415.18,41258,6317590943.0
2024-06-19,1422.55,1428.56,1406.66,1425.56,41262,6167728416.0
2024-06-20,1424.56,1440.57,1422.56,1424.66,24711,3715924984.0
2024-06-21,1425.06,1429.54,1394.78,1395.56,43320,6418543742.0
2024-06-24,1347.56,1413.55,1338.57,1401.11,63840,9319362390.0
2024-06-25,1401.56,1427.55,1401.56,1411.21,42098,6273919386.0
2024-06-26,1404.56,1425.63,1402.36,1413.78,29570,4414601922.0
2024-06-27,1416.56,1418.53,1392.56,1415.05,32822,4857959457.0
2024-06-28,1404.56,1419.05,1388.56,1391.95,38582,5699649047.0
2024-07-01,1393.44,1397.55,1352.56,1364.94,32161,4636689118.0
2024-07-02,1357.56,1422.56,1357.56,1415.26,51853,7659166816.0
2024-07-03,1423.56,1437.57,1412.58,1424.56,31573,4740808130.0
2024-07-04,1429.56,1436.56,1405.69,1410.3,24380,3637968895.0
2024-07-05,1403.56,1417.74,1374.56,1377.56,38829,5664477336.0
2024-07-08,1367.56,1382.33,1343.7,1344.56,39527,5657951348.0
2024-07-09,1344.56,1379.45,1334.66,1362.59,33621,4807957927.0
2024-07-10,1363.81,1390.44,1359.56,1362.15,23763,3436693365.0
2024-07-11,1374.53,1393.56,1364.77,1386.65,29020,4236960596.0
2024-07-12,1397.57,1410.96,1390.01,1403.38,23386,3451132648.0
2024-07-15,1394.56,1412.56,1394.56,1399.46,19176,2835374730.0
2024-07-16,1400.56,1406.56,1389.61,1400.56,20316,2998367128.0
2024-07-17,1400.66,1427.56,1394.58,1425.96,34311,5115680654.0
2024-07-18,1424.06,1439.56,1417.09,1422.07,28870,4337214601.0
2024-07-19,1415.37,1453.74,1408.57,1450.18,38943,5888615145.0
2024-07-22,1449.59,1454.54,1416.21,1423.56,28543,4300813310.0
2024-07-23,1423.56,1425.56,1379.56,1379.56,30944,4555460198.0
2024-07-24,1374.76,1388.26,1359.56,1364.58,24123,3490200973.0
2024-07-25,1364.58,1372.56,1344.57,1355.05,28347,4054086714.0
2024-07-26,1355.05,1362.28,1335.46,1346.75,32354,4594928574.0
2024-07-29,1339.56,1346.55,1322.56,1322.58,30869,4342610100.0
2024-07-30,1310.54,1314.83,1285.86,1304.55,51779,7103491566.0
2024-07-31,1297.66,1351.83,1297.66,1345.84,43272,6098149721.0
2024-08-01,1342.56,1344.56,1309.26,1310.72,32038,4470988088.0
2024-08-02,1298.16,1321.53,1298.16,1310.01,21928,3041726372.0
2024-08-05,1313.44,1350.56,1310.08,1334.57,37736,5327127147.0
2024-08-06,1346.56,1348.56,1318.57,1329.26,27444,3860735014.0
2024-08-07,1330.06,1346.55,1322.86,1340.06,20622,2910580747.0
2024-08-08,1335.56,1372.74,1333.56,1355.25,25131,3592705430.0
2024-08-09,1384.59,1393.56,1361.36,1361.36,30138,4368705515.0
2024-08-12,1354.56,1367.56,1351.14,1360.66,13632,1956573438.0
2024-08-13,1357.56,1359.56,1336.57,1347.57,16308,2317037756.0
2024-08-14,1347.57,1349.46,1336.58,1337.86,13414,1898377426.0
2024-08-15,1329.59,1360.55,1328.51,1351.45,23039,3275699572.0
2024-08-16,1351.35,1360.48,1341.57,1355.76,16455,2349825846.0
2024-08-19,1356.56,1383.44,1349.56,1350.0,20433,2942106435.0
2024-08-20,1354.46,1354.49,1338.56,1347.28,18591,2644814344.0
2024-08-21,1344.56,1352.54,1340.25,1342.14,15092,2144746551.0
2024-08-22,1340.56,1344.56,1324.57,1334.61,19527,2750868073.0
2024-08-23,1332.56,1348.06,1330.68,1339.55,15320,2166499202.0
2024-08-26,1341.56,1348.42,1327.71,1336.56,15628,2207595461.0
2024-08-27,1336.56,1337.56,1325.67,1328.63,13657,1920770570.0
2024-08-28,1328.63,1330.56,1299.56,1313.56,31664,4388025875.0
2024-08-29,1304.56,1342.56,1304.56,1337.86,27472,3864270621.0
2024-08-30,1337.56,1382.63,1329.56,1367.75,38739,5576118649.0
2024-09-02,1354.56,1362.56,1319.56,1319.56,34135,4801049927.0
2024-09-03,1322.56,1339.54,1317.58,1334.56,17888,2516125842.0
2024-09-04,1326.56,1343.75,1324.3,1324.56,14211,1995221417.0
2024-09-05,1325.06,1331.56,1321.56,1329.44,14503,2033680839.0
2024-09-06,1329.56,1330.56,1322.56,1322.56,10321,1445537257.0
2024-09-09,1304.57,1318.27,1294.64,1299.56,28638,3950086825.0
2024-09-10,1294.58,1317.56,1294.58,1302.56,19803,2737295644.0
2024-09-11,1300.16,1310.44,1289.56,1304.56,20996,2892932794.0
2024-09-12,1304.56,1309.56,1259.47,1259.62,47948,6482445000.0
2024-09-13,1255.56,1256.56,1221.86,1228.69,56005,7329376917.0
2024-09-18,1224.56,1224.57,1191.22,1191.46,46185,5895948011.0
2024-09-19,1186.56,1217.44,1170.39,1185.56,59988,7623739997.0
2024-09-20,1186.06,1198.46,1174.59,1188.48,39982,5038507835.0
2024-09-23,1192.56,1218.06,1185.22,1186.1,45550,5809791682.0
2024-09-24,1209.65,1297.56,1189.65,1297.16,100413,13297277523.0
2024-09-25,1324.61,1351.56,1321.27,1323.56,73954,10420109655.0
2024-09-26,1324.52,1454.43,1320.56,1453.56,97278,14269262657.0
2024-09-27,1524.56,1553.76,1489.92,1553.76,87922,14050260569.0
2024-09-30,1616.56,1684.44,1576.56,1672.56,157293,26982747037.0
2024-10-08,1834.56,1834.56,1604.74,1647.56,194709,35114075007.0
2024-10-09,1624.56,1624.56,1514.56,1519.71,120197,19708432734.0
2024-10-10,1546.82,1592.64,1515.56,1564.56,74603,12198964035.0
2024-10-11,1539.96,1564.52,1514.56,1529.55,41915,6764982707.0
2024-10-14,1537.56,1545.19,1505.73,1526.55,44812,7181350822.0
2024-10-15,1523.56,1525.55,1477.57,1478.81,43571,6884141869.0
2024-10-16,1465.44,1474.36,1434.56,1447.06,46664,7140169692.0
2024-10-17,1461.56,1462.22,1417.97,1419.16,39460,5964778958.0
2024-10-18,1417.56,1492.4,1403.52,1465.56,68619,10418043492.0
2024-10-21,1465.77,1474.53,1445.77,1453.36,42008,6433918335.0
2024-10-22,1451.12,1484.74,1448.76,1467.56,36269,5607826492.0
2024-10-23,1468.67,1501.51,1456.56,1492.06,40088,6259600035.0
2024-10-24,1485.56,1499.56,1469.57,1476.76,23923,3723973209.0
2024-10-25,1471.56,1499.35,1470.57,1483.41,27745,4328271351.0
2024-10-28,1484.56,1489.56,1446.79,1489.56,39121,6064453668.0
2024-10-29,1484.56,1504.56,1454.56,1456.18,41166,6368105233.0
2024-10-30,1449.56,1475.75,1447.97,1456.56,32006,4913175983.0
2024-10-31,1456.71,1464.56,1444.56,1452.35,29957,4575545180.0
2024-11-01,1445.56,1469.69,1445.36,1458.31,32284,4954302212.0
2024-11-04,1469.49,1474.56,1452.62,1472.76,29093,4481761764.0
2024-11-05,1464.56,1502.26,1460.57,1501.55,45640,7134443464.0
2024-11-06,1499.56,1513.55,1485.78,1495.56,37631,5916917616.0
2024-11-07,1487.02,1578.06,1486.86,1573.7,74739,12074951757.0
2024-11-08,1585.45,1591.67,1525.57,1534.53,60771,9885645907.0
2024-11-11,1514.56,1534.51,1491.75,1522.57,43854,6957095385.0
2024-11-12,1513.56,1547.56,1498.51,1501.76,49223,7844798676.0
2024-11-13,1492.56,1511.22,1485.84,1503.06,29125,4594445032.0
2024-11-14,1494.56,1519.01,1490.21,1498.36,29248,4617144097.0
2024-11-15,1493.56,1508.36,1477.56,1483.56,33761,5295326892.0
2024-11-18,1486.56,1500.55,1479.56,1483.56,27092,4237197499.0
2024-11-19,1489.56,1493.93,1449.56,1466.48,33266,5138831155.0
2024-11-20,1467.56,1478.53,1455.86,1469.37,21345,3292675257.0
2024-11-21,1468.43,1473.55,1456.56,1469.69,18262,2810933515.0
2024-11-22,1465.71,1472.33,1432.38,1432.38,33436,5107288992.0
2024-11-25,1435.56,1456.56,1421.23,1423.13,33186,5011136234.0
2024-11-26,1423.13,1443.44,1413.44,1433.56,25745,3876885984.0
2024-11-27,1433.56,1446.71,1429.56,1443.61,25934,3927607772.0
2024-11-28,1446.56,1449.55,1426.56,1442.56,23952,3627662382.0
2024-11-29,1441.56,1479.56,1437.77,1450.3,36088,5534035503.0
2024-12-02,1450.56,1454.55,1439.66,1449.56,26820,4086609952.0
2024-12-03,1448.56,1453.46,1440.64,1451.3,24807,3777197199.0
2024-12-04,1444.63,1448.22,1434.56,1444.56,23924,3626565544.0
2024-12-05,1435.42,1442.42,1434.56,1435.56,16141,2441318387.0
2024-12-06,1437.56,1463.46,1432.63,1445.57,32040,4883148600.0
2024-12-09,1446.58,1454.28,1437.76,1443.36,19800,3008173586.0
2024-12-10,1494.56,1504.29,1469.74,1471.15,60312,9421340719.0
2024-12-11,1464.56,1479.56,1455.54,1460.16,29671,4569662604.0
2024-12-12,1456.58,1490.56,1453.56,1490.36,41937,6510547810.0
2024-12-13,1474.57,1479.55,1443.44,1443.56,49512,7580908315.0
2024-12-16,1445.56,1453.56,1435.27,1451.76,32537,4945298799.0
2024-12-17,1450.55,1493.56,1445.57,1482.56,54172,8398945449.0
2024-12-18,1482.53,1501.56,1471.66,1496.06,41162,6440801971.0
2024-12-19,1489.7,1492.49,1474.89,1475.57,24809,3862602665.0
2024-12-20,1479.57,1490.24,1468.46,1470.44,28158,4307425535.0
2024-12-23,1471.44,1486.44,1465.44,1474.89,21603,3300971424.0
2024-12-24,1473.44,1492.44,1470.03,1487.26,22105,3394160299.0
2024-12-25,1487.24,1487.24,1474.54,1478.44,17123,2621061878.0
2024-12-26,1482.44,1487.22,1471.44,1476.23,18287,2798840003.0
2024-12-27,1477.34,1484.44,1467.94,1477.41,20759,3170191445.0
2024-12-30,1482.41,1492.4,1473.44,1473.44,25130,3849542646.0
2024-12-31,1473.84,1493.44,1470.45,1472.44,39354,6033540366.0
2025-01-02,1472.44,1472.93,1428.44,1436.44,50029,7490883773.0
2025-01-03,1442.94,1443.43,1415.45,1423.44,32628,4836610288.0
2025-01-06,1401.44,1411.1,1381.24,1388.44,44255,6392479712.0
2025-01-07,1393.1,1400.33,1387.44,1388.64,24221,3494634227.0
2025-01-08,1388.44,1400.26,1375.1,1390.94,35258,5071821246.0
2025-01-09,1397.43,1413.02,1381.42,1392.44,29706,4295852736.0
2025-01-10,1395.54,1400.39,1384.44,1384.44,21872,3154677598.0
2025-01-13,1373.44,1392.88,1370.45,1392.42,21083,3030806870.0
2025-01-14,1393.39,1427.12,1390.44,1420.94,30957,4535651504.0
2025-01-15,1415.44,1423.04,1408.45,1419.71,18399,2701518712.0
2025-01-16,1422.44,1431.1,1390.44,1394.82,26342,3840411437.0
2025-01-17,1394.83,1409.44,1394.82,1403.19,18309,2663227309.0
2025-01-20,1409.44,1438.23,1408.44,1423.24,31410,4647626351.0
2025-01-21,1429.44,1430.44,1413.44,1416.59,16856,2481821229.0
2025-01-22,1411.71,1416.39,1386.44,1389.44,28294,4088101682.0
2025-01-23,1398.41,1416.44,1386.44,1391.44,27125,3932700850.0
2025-01-24,1390.44,1396.23,1378.75,1384.44,31360,4515322685.0
2025-01-27,1385.44,1392.41,1375.46,1383.43,29356,4213534543.0
2025-02-05,1388.44,1391.44,1350.65,1352.24,40757,5753730034.0
2025-02-06,1348.45,1370.43,1348.45,1361.28,27356,3859568163.0
2025-02-07,1362.12,1391.12,1351.85,1384.44,37242,5310850624.0
2025-02-10,1386.44,1388.44,1375.53,1379.95,20840,2988101756.0
2025-02-11,1383.39,1384.4,1364.34,1366.44,23573,3348668867.0
2025-02-12,1366.44,1393.44,1365.32,1391.44,25476,3644170477.0
2025-02-13,1391.46,1423.69,1382.95,1413.5,43385,6335985851.0
2025-02-14,1413.5,1425.44,1406.66,1423.44,27100,3978694098.0
2025-02-17,1429.44,1443.42,1415.54,1420.06,32471,4804663813.0
2025-02-18,1418.44,1441.43,1410.52,1423.44,27800,4113845397.0
2025-02-19,1423.49,1442.88,1413.34,1439.44,32393,4803378441.0
2025-02-20,1431.44,1440.41,1421.83,1422.44,23750,3513552984.0
2025-02-21,1428.44,1445.17,1421.45,1436.65,36418,5418169587.0
2025-02-24,1436.44,1447.96,1422.44,1427.51,34744,5157907322.0
2025-02-25,1418.45,1421.83,1400.44,1402.44,28387,4142814459.0
2025-02-26,1403.89,1413.4,1393.44,1408.45,26366,3835949041.0
2025-02-27,1408.46,1438.34,1402.44,1434.0,49762,7368002361.0
2025-02-28,1433.94,1476.82,1430.44,1449.23,56129,8475738166.0
2025-03-03,1451.04,1469.43,1429.94,1435.46,31596,4736679903.0
2025-03-04,1433.44,1434.44,1413.65,1418.55,25211,3710675863.0
2025-03-05,1420.44,1422.44,1408.54,1414.81,24605,3606932152.0
2025-03-06,1422.44,1458.64,1420.52,1454.42,42168,6297117400.0
2025-03-07,1451.44,1476.8,1451.44,1469.44,37991,5760608729.0
2025-03-10,1468.25,1475.32,1454.58,1471.34,31369,4758789260.0
2025-03-11,1465.44,1497.12,1460.44,1497.12,39776,6094007854.0
2025-03-12,1495.4,1498.12,1474.79,1491.02,29604,4552923644.0
2025-03-13,1492.44,1503.94,1479.32,1486.21,25724,3966369271.0
2025-03-14,1496.1,1576.45,1489.44,1576.45,92913,14882842708.0
2025-03-17,1605.44,1606.43,1575.32,1586.3,54689,8985138902.0
2025-03-18,1593.48,1600.44,1570.14,1572.44,31613,5153210436.0
2025-03-19,1572.73,1596.44,1571.44,1584.15,27390,4477128770.0
2025-03-20,1584.15,1586.04,1543.51,1552.44,36737,5903879207.0
2025-03-21,1547.44,1560.64,1517.27,1522.19,33614,5324973190.0
2025-03-24,1518.44,1538.1,1510.82,1531.44,25566,4032223482.0
2025-03-25,1536.44,1541.24,1515.1,1523.94,17674,2783286813.0
2025-03-26,1521.21,1531.02,1519.44,1524.44,14324,2257639750.0
2025-03-27,1524.44,1546.69,1521.82,1537.44,17956,2848889210.0
2025-03-28,1539.37,1541.44,1524.44,1533.65,16228,2569470015.0
2025-03-31,1529.42,1535.4,1508.5,1509.44,21085,3311857714.0
2025-04-01,1512.44,1518.33,1500.65,1504.46,18556,2893739955.0
2025-04-02,1506.44,1516.24,1493.94,1497.46,21674,3371883024.0
2025-04-03,1478.44,1534.44,1477.45,1517.32,35481,5557442052.0
2025-04-07,1468.45,1485.29,1410.44,1448.44,101953,15314738235.0
2025-04-08,1461.44,1493.44,1443.44,1493.44,73876,11226977557.0
2025-04-09,1473.46,1505.24,1468.99,1489.48,55630,8562928225.0
2025-04-10,1499.43,1503.44,1476.44,1497.44,38620,5963650791.0
2025-04-11,1528.41,1528.41,1493.44,1517.42,32634,5087359924.0
2025-04-14,1509.41,1514.44,1499.97,1500.43,21711,3379425640.0
2025-04-15,1500.44,1513.44,1493.44,1506.44,21489,3339942729.0
2025-04-16,1500.44,1524.44,1485.44,1507.61,31156,4834880596.0
2025-04-17,1502.44,1524.94,1498.43,1518.44,23846,3733924973.0
2025-04-18,1514.44,1523.44,1504.44,1514.38,20298,3179974340.0
2025-04-21,1513.94,1513.94,1499.44,1499.44,18057,2808158177.0
2025-04-22,1498.44,1504.74,1491.65,1497.24,18432,2857525967.0
2025-04-23,1507.44,1507.66,1493.44,1500.44,18669,2895468892.0
2025-04-24,1500.44,1509.12,1497.42,1500.69,14872,2313372072.0
2025-04-25,1505.54,1509.64,1498.44,1498.44,14765,2295029705.0
2025-04-28,1500.44,1503.44,1495.04,1498.44,14660,2274252465.0
2025-04-29,1498.44,1500.98,1480.46,1492.44,18922,2917422938.0
2025-04-30,1498.43,1515.1,1494.74,1495.44,25754,4005439429.0
2025-05-06,1507.44,1507.44,1492.77,1498.64,18300,2838614215.0
2025-05-07,1518.44,1518.44,1498.64,1503.44,27462,4275142569.0
2025-05-08,1501.44,1541.22,1498.27,1526.63,33481,5265446444.0
2025-05-09,1527.43,1545.89,1523.49,1539.62,23672,3757574546.0
2025-05-12,1546.44,1567.37,1545.05,1552.94,24735,3967785800.0
2025-05-13,1557.36,1557.36,1533.55,1538.74,21258,3386617848.0
2025-05-14,1538.44,1593.44,1536.62,1583.43,39460,6394735058.0
2025-05-15,1583.24,1592.03,1572.57,1580.45,24733,4043402636.0
2025-05-16,1582.43,1585.43,1562.57,1562.57,22935,3714508659.0
2025-05-19,1544.44,1548.44,1522.32,1527.42,38063,6021950010.0
2025-05-20,1528.44,1543.24,1523.54,1534.44,19522,3095742637.0
2025-05-21,1533.44,1544.38,1529.41,1529.41,19795,3143941416.0
2025-05-22,1529.43,1533.43,1518.54,1528.44,15090,2381236586.0
2025-05-23,1523.64,1536.34,1520.1,1521.04,21537,3399424961.0
2025-05-26,1518.44,1523.07,1493.44,1498.94,27087,4212944430.0
2025-05-27,1499.44,1507.04,1491.95,1492.34,17752,2748945675.0
2025-05-28,1492.43,1494.9,1481.44,1485.44,16266,2504624605.0
2025-05-29,1488.44,1503.44,1480.44,1488.44,21860,3375465796.0
2025-05-30,1488.59,1493.44,1463.68,1470.44,31239,4764875947.0
2025-06-03,1456.45,1467.44,1453.46,1457.44,28979,4377892799.0
2025-06-04,1458.94,1471.44,1457.66,1458.4,23008,3480363797.0
2025-06-05,1462.44,1464.44,1450.64,1462.44,23214,3504925524.0
2025-06-06,1462.24,1467.41,1451.44,1454.83,25023,3777727616.0
2025-06-09,1453.46,1457.14,1434.12,1434.55,44959,6723839138.0
2025-06-10,1434.44,1440.44,1423.24,1423.45,30492,4511934584.0
2025-06-11,1425.24,1442.44,1424.54,1428.44,30893,4585522755.0
2025-06-12,1428.44,1432.31,1402.54,1407.44,49904,7306800800.0
2025-06-13,1392.85,1398.41,1373.5,1375.39,59113,8466515559.0
2025-06-16,1349.64,1373.48,1349.62,1370.73,42888,6060448438.0
2025-06-17,1368.44,1375.44,1360.62,1375.44,27232,3868364671.0
2025-06-18,1388.44,1391.88,1369.45,1373.44,30761,4404131364.0
2025-06-19,1374.44,1382.11,1365.62,1374.44,24501,3490268568.0
2025-06-20,1372.02,1389.58,1368.64,1377.1,34816,4990683314.0
2025-06-23,1368.44,1381.44,1353.62,1368.44,26723,3794012343.0
2025-06-24,1371.79,1400.12,1371.79,1385.64,36312,5229183514.0
2025-06-25,1387.55,1397.64,1368.95,1384.3,41050,5869292227.0
2025-06-26,1391.04,1404.04,1386.12,1396.04,34860,4955829982.0
2025-06-27,1396.05,1399.04,1379.13,1379.13,38250,5404312675.0
2025-06-30,1379.54,1389.27,1378.04,1385.56,30457,4287373691.0
2025-07-01,1385.04,1387.98,1379.35,1381.14,19878,2794423203.0
2025-07-02,1385.54,1390.84,1376.04,1385.64,26218,3689246316.0
2025-07-03,1388.04,1398.73,1384.04,1391.64,24413,3456733002.0
2025-07-04,1391.74,1407.93,1386.05,1398.26,28767,4086547268.0
2025-07-07,1398.32,1399.54,1386.05,1386.74,23855,3370562659.0
2025-07-08,1386.75,1396.04,1386.74,1392.15,18674,2643302691.0
2025-07-09,1391.04,1406.01,1390.21,1394.92,27745,3950810723.0
2025-07-10,1395.01,1412.22,1386.44,1402.54,38725,5503329754.0
2025-07-11,1399.2,1434.04,1399.2,1403.04,57243,8239010390.0
2025-07-14,1406.04,1411.02,1397.64,1399.64,27781,3961736006.0
2025-07-15,1397.02,1398.97,1384.36,1387.04,35406,5005150165.0
2025-07-16,1386.05,1393.53,1385.99,1387.07,21286,3006882579.0
2025-07-17,1390.02,1399.05,1388.92,1392.39,23106,3273100406.0
2025-07-18,1396.04,1413.85,1392.42,1413.04,41823,5984949774.0
2025-07-21,1413.03,1422.84,1411.04,1419.04,26203,3779891829.0
2025-07-22,1420.04,1442.64,1416.72,1441.02,42119,6127636851.0
2025-07-23,1445.04,1471.04,1444.99,1451.54,45045,6676301462.0
2025-07-24,1452.04,1475.04,1451.04,1467.54,38804,5786337377.0
